clinic_id,name,town,operator,landkreis,regierungsbezirk,status,versorgungsstufe,traegerart,beds,day_places,fachrichtungen,parse_quality,source,website,careers_url,ats_type
18002,Deutsches Zentrum für Kinderund Jugendrheumatologie,Garmisch-Partenkirchen,Kinderklinik Garmisch-Partenkirchen gGmbH,Landkreis Garmisch-Partenkirchen,Oberbayern,Plan-KH,Fachkrankenhaus,privat,110,0,KIN,ok,"Krankenhausplan Bayern 2026 (51. Fortschreibung), StMGP",https://www.rheuma-kinderklinik.de,https://www.rheuma-kinderklinik.de/karriere-ausbildung/stellenangebote,
18003,Klinikum Garmisch-Partenkirchen - Außenstelle Murnau,Murnau,Klinikum Garmisch-Partenkirchen GmbH,Landkreis Garmisch-Partenkirchen,Oberbayern,Plan-KH,Schwerpunkt (II),oeffentlich,75,3,INN|HD,ok,"Krankenhausplan Bayern 2026 (51. Fortschreibung), StMGP",http://www.klinikum-gap.de,https://karriere.klinikum-gap.de/jobs,bite_jobs
18004,"Klinik Oberammergau - Zentrum für Rheumatologie, Orthopädie und Schmerztherapie",Oberammergau,Waldburg-Zeil Kliniken GmbH & Co. - Rheumaklinik KG-,Landkreis Garmisch-Partenkirchen,Oberbayern,Plan-KH,Fachkrankenhaus,privat,90,0,CHI|INN,ok,"Krankenhausplan Bayern 2026 (51. Fortschreibung), StMGP",,,
18005,kbo-Lech-Mangfall-Klinik Garmisch-Partenkirchen,Garmisch-Partenkirchen,kbo-Lech-Mangfall-Kliniken gGmbH,Landkreis Garmisch-Partenkirchen,Oberbayern,Plan-KH,Fachkrankenhaus,oeffentlich,120,20,PSO|PSY,ok,"Krankenhausplan Bayern 2026 (51. Fortschreibung), StMGP",http://www.kbo-lmk.de,https://kbo-lmk.de/karriere/stellenangebote,typo3_jobs
18006,KJF Klinik Hochried,Murnau,Katholische Jugendfürsorge der Diözese Augsburg e.V.,Landkreis Garmisch-Partenkirchen,Oberbayern,Plan-KH,Fachkrankenhaus,freigemeinnuetzig,22,16,KJP,ok,"Krankenhausplan Bayern 2026 (51. Fortschreibung), StMGP",https://www.josefinum.de,https://www.josefinum.de/ueber-uns/karriere/offene-stellen/,softgarden
18007,Berufsgenossenschaf tliche Unfallklinik,Murnau,BG Klinikum Murnau gGmbH,Landkreis Garmisch-Partenkirchen,Oberbayern,Plan-KH,Schwerpunkt (II),oeffentlich,240,0,CHI|MKG|NCH|NEU|URO,ok,"Krankenhausplan Bayern 2026 (51. Fortschreibung), StMGP",,,
18101,Klinikum Landsberg am Lech,Landsberg,Klinikum Landsberg am Lech -KU-,Landkreis Landsberg a. Lech,Oberbayern,Plan-KH,Grundversorgung (I),oeffentlich,218,15,CHI|GUG|HNO|INN|KIN,ok,"Krankenhausplan Bayern 2026 (51. Fortschreibung), StMGP",http://www.klinikum-landsberg.de,https://www.klinikum-landsberg.de/offene-stellen/,bite
18102,Psychosomatische Klinik Windach Windach a.,Ammersee,Psychosomatische Klinik GmbH & Co. Windach/Ammersee KG,Landkreis Landsberg a. Lech,Oberbayern,Plan-KH,Fachkrankenhaus,privat,181,0,PSO,ok,"Krankenhausplan Bayern 2026 (51. Fortschreibung), StMGP",,,
18103,kbo-Lech-Mangfall-Klinik Landsberg am Lech,Landsberg am Lech,kbo-Lech-Mangfall-Kliniken gGmbH,Landkreis Landsberg a. Lech,Oberbayern,Plan-KH,Fachkrankenhaus,oeffentlich,92,30,PSO|PSY,ok,"Krankenhausplan Bayern 2026 (51. Fortschreibung), StMGP",http://www.kbo-lmk.de,https://kbo-lmk.de/karriere/stellenangebote,typo3_jobs
18104,kbo-Heckscher-Klinikum Landsberg am Lech,Landsberg am Lech,kbo-Heckscher-Klinikum gGmbH,Landkreis Landsberg a. Lech,Oberbayern,Plan-KH,Fachkrankenhaus,oeffentlich,0,15,KJP,ok,"Krankenhausplan Bayern 2026 (51. Fortschreibung), StMGP",https://kbo-heckscher-klinikum.de,https://kbo-heckscher-klinikum.de/arbeiten-bei-uns,typo3_jobs
18105,Psychosomatische Klinik Kloster Dießen,Dießen am Ammersee,Psychosomatische Klinik Kloster Dießen GmbH & Co.KG,Landkreis Landsberg a. Lech,Oberbayern,Plan-KH,Fachkrankenhaus,privat,58,0,PSO,ok,"Krankenhausplan Bayern 2026 (51. Fortschreibung), StMGP",https://www.psychosomatik-diessen.de,https://www.psychosomatik-diessen.de/karriere/stellenangebote,bite
18201,Krankenhaus Agatharied,Hausham,Krankenhaus Agatharied KU,Landkreis Miesbach,Oberbayern,Plan-KH,Grundversorgung (I),oeffentlich,350,0,CHI|GUG|HNO|INN|KIN|NEU,ok,"Krankenhausplan Bayern 2026 (51. Fortschreibung), StMGP",http://www.khagatharied.de,https://karriere.khagatharied.de/stellenangebote.html,rexx
18202,kbo-Lech-Mangfall-Klinik Agatharied,Hausham,kbo-Lech-Mangfall-Kliniken gGmbH,Landkreis Miesbach,Oberbayern,Plan-KH,Fachkrankenhaus,oeffentlich,135,30,PSO|PSY,ok,"Krankenhausplan Bayern 2026 (51. Fortschreibung), StMGP",http://www.kbo-lmk.de,https://kbo-lmk.de/karriere/stellenangebote,typo3_jobs
