clinic_id,name,town,operator,landkreis,regierungsbezirk,status,versorgungsstufe,traegerart,beds,day_places,fachrichtungen,parse_quality,source,website,careers_url,ats_type
RH1270,Kurhotel SONNENHOF GmbH & Co. Betriebs KG,Bad Füssing,Kurhotel SONNENHOF GmbH & Co. Betriebs KG,Passau,Niederbayern,Reha-Einrichtung,,privat,10,,Keine Zuordnung zu spezifischem Fachgebiet,ok,"RHV 2024 (Verzeichnis der Vorsorge- oder Rehabilitationseinrichtungen, Statistische Aemter des Bundes und der Laender, Stand 31.12.2024)",https://www.thermenhotel-sonnenhof.de,,
RH1206,Kurhotel Wiedemann KG,Füssen,Kurhotel Wiedemann KG,Ostallgäu,Schwaben,Reha-Einrichtung,,privat,30,,Med. berufliche Rehabilitation,ok,"RHV 2024 (Verzeichnis der Vorsorge- oder Rehabilitationseinrichtungen, Statistische Aemter des Bundes und der Laender, Stand 31.12.2024)",,,
RH1435,Medical Park Bad Wiessee GmbH & Co. KG St. Hubertus,Bad Wiessee,Medical Park Bad Wiessee GmbH & Co. KG,Miesbach,Oberbayern,Reha-Einrichtung,,privat,432,,"Kardiologie, Orthopädie",ok,"RHV 2024 (Verzeichnis der Vorsorge- oder Rehabilitationseinrichtungen, Statistische Aemter des Bundes und der Laender, Stand 31.12.2024)",https://www.sthubertus.medicalpark.de,,
RH2547,"MediClin Reha-Zentrum Roter Hügel Fachklinik für Neurologie, Orthopädie und Geriatrie",Bayreuth,MediClin GmbH & Co. KG,Bayreuth,Oberfranken,Reha-Einrichtung,,privat,284,,"Geriatrie, Orthopädie, Neurologie",ok,"RHV 2024 (Verzeichnis der Vorsorge- oder Rehabilitationseinrichtungen, Statistische Aemter des Bundes und der Laender, Stand 31.12.2024)",https://www.reha-zentrum-roter-huegel.de,,
RH2000,Klinik Wartenberg Professor Dr. Selmair GmbH und Co. KG,Wartenberg,Klinik Wartenberg Professor Dr. Selmair GmbH und Co. KG,Erding,Oberbayern,Reha-Einrichtung,,privat,149,,"Geriatrie, Sonstige Fachabteilung",ok,"RHV 2024 (Verzeichnis der Vorsorge- oder Rehabilitationseinrichtungen, Statistische Aemter des Bundes und der Laender, Stand 31.12.2024)",https://www.klinik-wartenberg.de,,
RH1600,Waldburg-Zeil Kliniken GmbH & Co. Rheumaklinik KG – Rehabilitation,Oberammergau,Waldburg-Zeil Kliniken GmbH & Co. Rheuma-Klinik KG,Garmisch-Partenkirchen,Oberbayern,Reha-Einrichtung,,privat,205,,"Geriatrie, Rheumatologie, Orthopädie",ok,"RHV 2024 (Verzeichnis der Vorsorge- oder Rehabilitationseinrichtungen, Statistische Aemter des Bundes und der Laender, Stand 31.12.2024)",https://www.klinik-oberammergau.de,,
RH1386,Simssee Klinik GmbH,Bad Endorf,Simssee Klinik GmbH,Rosenheim,Oberbayern,Reha-Einrichtung,,privat,248,,"Geriatrie, Orthopädie",ok,"RHV 2024 (Verzeichnis der Vorsorge- oder Rehabilitationseinrichtungen, Statistische Aemter des Bundes und der Laender, Stand 31.12.2024)",https://www.simssee-klinik.de,,
RH2091,Klinik St. Irmingard GmbH – Rehabilitation,Prien am Chiemsee,Klinik St. Irmingard GmbH,Rosenheim,Oberbayern,Reha-Einrichtung,,privat,160,,"Kardiologie, Hämatologie und internistische Onkologie",ok,"RHV 2024 (Verzeichnis der Vorsorge- oder Rehabilitationseinrichtungen, Statistische Aemter des Bundes und der Laender, Stand 31.12.2024)",https://www.st-irmingard.de,,
RH2143,Bezirksklinikum Mainkofen neurologische Frührehabilitation,Deggendorf,Bezirk Niederbayern,Deggendorf,Niederbayern,Reha-Einrichtung,,oeffentlich,13,,Allgemeine Psychiatrie,ok,"RHV 2024 (Verzeichnis der Vorsorge- oder Rehabilitationseinrichtungen, Statistische Aemter des Bundes und der Laender, Stand 31.12.2024)",https://www.mainkofen.de,,
RH2772,Asklepios Klinikum Bad Abbach Orthopädische und Rheumatologische Rehabilitation,Bad Abbach,Asklepios Klinikum Bad Abbach GmbH,Kelheim,Niederbayern,Reha-Einrichtung,,privat,268,,"Rheumatologie, Orthopädie",ok,"RHV 2024 (Verzeichnis der Vorsorge- oder Rehabilitationseinrichtungen, Statistische Aemter des Bundes und der Laender, Stand 31.12.2024)",https://www.asklepios.com/badabbach,,
RH1564,Johannesbad Reha-Klinik Bad Füssing,Bad Füssing,Johannesbad Reha-Kliniken AG & Co. KG,Passau,Niederbayern,Reha-Einrichtung,,privat,485,,"Orthopädie, Psychosomatik/Psychotherapie",ok,"RHV 2024 (Verzeichnis der Vorsorge- oder Rehabilitationseinrichtungen, Statistische Aemter des Bundes und der Laender, Stand 31.12.2024)",https://www.johannesbad.com,,
RH1791,Klinik Herzoghöhe Bayreuth Rehabilitation,Bayreuth,Deutsche Rentenversicherung Nordbayern,Bayreuth,Oberfranken,Reha-Einrichtung,,oeffentlich,210,,"Hämatologie und internistische Onkologie, Orthopädie",ok,"RHV 2024 (Verzeichnis der Vorsorge- oder Rehabilitationseinrichtungen, Statistische Aemter des Bundes und der Laender, Stand 31.12.2024)",https://www.klinik-herzoghoehe.de,,
RH1741,Bezirksklinik Hochstadt Rehabilitation,Hochstadt am Main,Kommunalunternehmen Gesundheitseinrichtungen des Bezirks Oberfranken AöR,Lichtenfels,Oberfranken,Reha-Einrichtung,,oeffentlich,85,,Entwöhnungsbehandlungen,ok,"RHV 2024 (Verzeichnis der Vorsorge- oder Rehabilitationseinrichtungen, Statistische Aemter des Bundes und der Laender, Stand 31.12.2024)",https://www.gebo-med.de,,
RH2318,Rangauklinik Ansbach GmbH Rehabilitationsklinik für Pneumologie und Onkologie,Ansbach,Diakoneo Rangauklinik Ansbach GmbH,Ansbach,Mittelfranken,Reha-Einrichtung,,freigemeinnuetzig,74,,Lungen- und Bronchialheilkunde,ok,"RHV 2024 (Verzeichnis der Vorsorge- oder Rehabilitationseinrichtungen, Statistische Aemter des Bundes und der Laender, Stand 31.12.2024)",https://www.rangauklinik.de,,
RH1522,Thoraxzentrum Bezirk Unterfranken Rehabilitation,Münnerstadt,Bezirk Unterfranken,Bad Kissingen,Unterfranken,Reha-Einrichtung,,oeffentlich,20,,Lungen- und Bronchialheilkunde,ok,"RHV 2024 (Verzeichnis der Vorsorge- oder Rehabilitationseinrichtungen, Statistische Aemter des Bundes und der Laender, Stand 31.12.2024)",https://www.tzbu.de,,
RH1585,Orthopädische Rehabilitationsklinik der Hessing Stiftung,Augsburg,Hofrat Friedrich Hessing’sche orthopädische Heilanstalt in Göggingen-Augsburg,Augsburg,Schwaben,Reha-Einrichtung,,freigemeinnuetzig,60,,Orthopädie,ok,"RHV 2024 (Verzeichnis der Vorsorge- oder Rehabilitationseinrichtungen, Statistische Aemter des Bundes und der Laender, Stand 31.12.2024)",https://www.hessing-kliniken.de,,
RH1255,m&i-Fachklinik Enzensberg Hopfen am See Medizinische Rehabilitation,Füssen,m&i-Klinikbetriebsgesellschaft GmbH,Ostallgäu,Schwaben,Reha-Einrichtung,,privat,322,,"Geriatrie, Orthopädie, Neurologie, Psychosomatik/Psychotherapie",ok,"RHV 2024 (Verzeichnis der Vorsorge- oder Rehabilitationseinrichtungen, Statistische Aemter des Bundes und der Laender, Stand 31.12.2024)",https://www.fachklinik-enzensberg.de,,
RH2314,Rehaklinik St. Vinzenz Pfronten im Allgäu GmbH,Pfronten,Rehaklinik St. Vinzenz Pfronten im Allgäu GmbH,Ostallgäu,Schwaben,Reha-Einrichtung,,privat,60,,"Geriatrie, Sonstige Fachabteilung",ok,"RHV 2024 (Verzeichnis der Vorsorge- oder Rehabilitationseinrichtungen, Statistische Aemter des Bundes und der Laender, Stand 31.12.2024)",,,
